token,count,files,category,registered,builtin_allowed,baseline_allowed,first_file,first_line,first_context
SEQ-188,16,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,1200,"PORT_STATUS_RELEASE_GATE.csv:row_1217,ac_yoyo_k,ac_yoyo_K,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_contr"
TIME,16,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,41,"pub const CODEX_ID_HOHMANN_TRANSFER_TIME: &str = ""astrodynamics.transfer.hohmann.transfer_time"";"
ACX-NOM-001,15,11,compound_registered_or_known,false,false,false,ARTIFACT_MANIFEST.md,43,- `nomenclature/docs/ACX-NOM-001.md`
ATMOSPHERE,15,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,16,"SOURCE_ID_US_STANDARD_ATMOSPHERE_1976, STANDARD_AIR_GAS_CONSTANT_J_PER_KG_K,"
CIRCULAR,15,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,21,"pub const CODEX_ID_CIRCULAR_ORBIT_SPEED: &str = ""astrodynamics.two_body.circular_orbit_speed"";"
DRY,15,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,17,"STANDARD_GAMMA_DRY_AIR, STANDARD_GRAVITY_M_S2, STANDARD_SEA_LEVEL_DENSITY_KG_M3,"
ECSS,15,9,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,35,"6. Do not bulk-approve external acronym lists. Source registries may identify NASA, ECSS, FAA, CCSDS, DoD, AIAA, and AeroCodex seed families, but imported terms must remain candidate/source-scoped until reviewed."
IDEAL,15,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-propulsion/src/lib.rs,23,"pub const CODEX_ID_IDEAL_THRUST: &str = ""propulsion.nozzle.ideal_thrust"";"
ISS,15,5,registered,true,false,false,citations/blss_thinfilm_refs.bib,3,"title = {Photobioreactor {Limnospira indica} Growth Model: Application from the {MELiSSA} Plant Pilot Scale to {ISS} Flight Experiment},"
MIN,15,7,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1366,"circular_orbit_speed(f64::MIN_POSITIVE, f64::MAX),"
NASA/JPL,15,12,compound_registered_or_known,false,false,false,archive/prompts/Pasted markdown.md,554,NASA/JPL astrodynamics parameter sources
NH4,15,3,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-life-support/src/nitrifying_biofilm.rs,57,/// `NH4+ + 1.5 O2 -> NO2- + 2H+ + H2O` and
ORBITAL,15,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,23,"pub const CODEX_ID_ORBITAL_PERIOD_CIRCULAR: &str = ""astrodynamics.two_body.orbital_period_circular"";"
PA,15,4,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-atmosphere/src/lib.rs,18,"STANDARD_SEA_LEVEL_PRESSURE_PA, STANDARD_SEA_LEVEL_TEMPERATURE_K,"
PDR,15,8,registered,true,false,false,nomenclature/docs/ACX-NOM-001.md,716,The Preliminary Design Review (PDR) package shall include the interface-control baseline.
PR,15,9,software_or_repo_infrastructure,false,true,false,archive/prompts/Pasted markdown.md,1428,13. Include in the PR body:
SEQ-162,15,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,450,"PORT_STATUS_RELEASE_GATE.csv:row_1096,rb_body_rates_to_euler313_rates,rb_body_rates_to_euler313_rates,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_sc"
SEQ-164,15,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,456,"PORT_STATUS_RELEASE_GATE.csv:row_1126,rb_dcm_euler313,rb_dcm_euler313,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_ri"
SEQ-177,15,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,543,"PORT_STATUS_RELEASE_GATE.csv:row_1296,rvd_assert_fraction,rvd_assert_fraction,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_sect"
TIC,15,8,registered,true,false,false,crates/aero-codex-life-support/src/melissa_photobioreactor.rs,262,const ID: &str = ids::LIMNOSPIRA_TIC_RATE;
TOTAL,15,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,39,"pub const CODEX_ID_HOHMANN_TOTAL_DELTA_V: &str = ""astrodynamics.transfer.hohmann.total_delta_v"";"
ALLOWED,14,1,uppercase_word_or_heading,false,false,false,xtask/src/main.rs,110,const ALLOWED_STATUSES: &[&str] = &[
BASIC,14,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,38,pub const SOURCE_ID_AERODYNAMICS_BASIC_COEFFICIENTS: &str = SOURCE_ID_AERODYNAMIC_COEFFICIENTS;
BODY,14,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,127,pub const SOURCE_ID_ASTRODYNAMICS_TWO_BODY_BASICS: &str =
BOLTZMANN,14,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,89,pub const STEFAN_BOLTZMANN_W_PER_M2_K4: f64 = 5.670_374_419e-8;
BUCKLING,14,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,30,pub const CODEX_ID_EULER_COLUMN_BUCKLING_LOAD: &str =
BVAD,14,7,registered,true,false,false,archive/prompts/Pasted markdown.md,555,NASA life-support / BVAD / ECLSS sources as research targets
CCSDS,14,9,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,35,"6. Do not bulk-approve external acronym lists. Source registries may identify NASA, ECSS, FAA, CCSDS, DoD, AIAA, and AeroCodex seed families, but imported terms must remain candidate/source-scoped until reviewed."
EPSILON,14,5,uppercase_word_or_heading,false,false,false,crates/aero-codex-flight-dynamics/src/lib.rs,42,const LEVEL_TURN_COS_EPSILON: f64 = 1.0e-12;
JPL,14,4,registered,true,false,false,crates/aero-codex-astrodynamics/src/lib.rs,121,pub const SOURCE_ID_ASTRODYNAMICS_NASA_JPL_PARAMETERS: &str =
SEQ-013,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,4,"PORT_STATUS_RELEASE_GATE.csv:row_0041,ch1_is_close,foa_ch01_ast_is_close,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_s"
SEQ-020,14,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,131,"PORT_STATUS_RELEASE_GATE.csv:row_0148,ch2_specific_energy,foa_ch02_ast_specific_energy,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/nam"
SEQ-054,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,205,"PORT_STATUS_RELEASE_GATE.csv:row_0777,ch8_hohmann_transfer,foa_ch08_ast8_hohmann_transfer,source_scilab/ch8_transfers/ast_ch8_heliocentric_transfers.sci,orbit_two_body,high_risk_requires_numerical_policy,mission design / patched-conic astro"
SEQ-117,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,465,"PORT_STATUS_RELEASE_GATE.csv:row_1175,ac_dual_spin_angular_momentum,ac_dual_spin_angular_momentum,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab"
SEQ-123,14,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,609,"PORT_STATUS_RELEASE_GATE.csv:row_0626,ga_apoapsis_radius,ga_apoapsis_radius,source_scilab/curtis_section07_gravity_assist_scilab/src/ga_two_body.sci,orbit_two_body,medium_risk_requires_contract_review,mission design / patched-conic astrodyn"
SEQ-132,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,403,"PORT_STATUS_RELEASE_GATE.csv:row_1018,j2_acceleration,j2_acceleration,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2"
SEQ-136,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,356,"PORT_STATUS_RELEASE_GATE.csv:row_0957,linrel_close_proximity_ratio,linrel_close_proximity_ratio,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_l"
SEQ-137,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,363,"PORT_STATUS_RELEASE_GATE.csv:row_0964,lvlh_exact_relative_trajectory,lvlh_exact_relative_trajectory,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scil"
SEQ-179,14,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,566,"PORT_STATUS_RELEASE_GATE.csv:row_1322,_sgp4_dpper,_sgp4_dpper,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/sgp4_core.sci,sgp4_teme_sensitive,blocked_until_frame_time_policy,Val"
STEFAN,14,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,89,pub const STEFAN_BOLTZMANN_W_PER_M2_K4: f64 = 5.670_374_419e-8;
STRUCTURES,14,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,36,pub const SOURCE_ID_STRUCTURES_BASIC_MECHANICS: &str =
AREA,13,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,27,"pub const CODEX_ID_ISENTROPIC_AREA_MACH_RATIO: &str = ""gasdyn.isentropic.area_mach_ratio"";"
CELESTIAL,13,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,132,pub const SOURCE_ID_ASTRODYNAMICS_TRANSFER_CELESTIAL_BASICS: &str =
CONDUCTION,13,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-heat-transfer/src/lib.rs,29,pub const CODEX_ID_THERMAL_RESISTANCE_CONDUCTION: &str =
FLIGHT,13,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-flight-dynamics/src/lib.rs,33,pub const SOURCE_ID_FLIGHT_DYNAMICS_BASIC_PERFORMANCE: &str =
LOAD,13,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-flight-dynamics/src/lib.rs,21,"pub const CODEX_ID_LEVEL_TURN_LOAD_FACTOR: &str = ""flight_dynamics.turn.load_factor_level_turn"";"
NO2,13,2,chemical_formula_or_unit_symbol,false,false,false,docs/phase_0_001/thinfilm_implementation_plan.md,26,"- Expose named state schemas for O2, CO2, TIC, NH4, NO2, NO3, biomass, pH, water, temperature, power, and risk."
POSITIVE,13,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,1366,"circular_orbit_speed(f64::MIN_POSITIVE, f64::MAX),"
SEQ-011,13,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,74,"PORT_STATUS_RELEASE_GATE.csv:row_0091,ellipse_b,foa_ch01_ast_ellipse_b,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_sci"
SEQ-012,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,5,"PORT_STATUS_RELEASE_GATE.csv:row_0057,relative_perturbed_accel,foa_ch01_ast_relative_perturbed_accel,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_c"
SEQ-034,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,70,"PORT_STATUS_RELEASE_GATE.csv:row_0388,ch5::gauss_transfer_geometry,foa_ch05_ast_gauss_transfer_geometry,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scila"
SEQ-039,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,83,"PORT_STATUS_RELEASE_GATE.csv:row_0408,ch5::propagate_universal,foa_ch05_ast_propagate_universal,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleane"
SEQ-165,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,458,"PORT_STATUS_RELEASE_GATE.csv:row_1140,rb_is_close,rb_is_close,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body"
SEQ-172,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,501,"PORT_STATUS_RELEASE_GATE.csv:row_1246,rvd_optimal_minimum_check,rvd_optimal_minimum_check,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library"
SEQ-184,13,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,485,"PORT_STATUS_RELEASE_GATE.csv:row_1209,ac_attitude_integrate_quaternion,ac_attitude_integrate_quaternion,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_"
V1,13,1,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,31,"pub const CODEX_ID_HOHMANN_TRANSFER_DELTA_V1: &str = ""astrodynamics.transfer.hohmann.delta_v1"";"
V2,13,1,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,35,"pub const CODEX_ID_HOHMANN_TRANSFER_DELTA_V2: &str = ""astrodynamics.transfer.hohmann.delta_v2"";"
ADS-B,12,8,registered,true,false,false,nomenclature/docs/acronym_terminology_protocol.md,167,token: ADS-B
AIAA,12,8,registered,true,false,false,docs/deployment/deploy_agent_prompt_nomenclature_policy_v0_002.md,35,"6. Do not bulk-approve external acronym lists. Source registries may identify NASA, ECSS, FAA, CCSDS, DoD, AIAA, and AeroCodex seed families, but imported terms must remain candidate/source-scoped until reviewed."
CHOKED,12,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-propulsion/src/lib.rs,31,"pub const CODEX_ID_CHOKED_MASS_FLUX: &str = ""propulsion.nozzle.choked_mass_flux_per_area"";"
CLOSURE,12,4,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/brlss_backbone.rs,282,const ID: &str = ids::THINFILM_CLOSURE_METRIC;
CODATA,12,5,registered,true,false,false,crates/aero-codex-constants/src/lib.rs,20,pub const SOURCE_ID_NIST_CODATA_PHYSICAL_CONSTANTS: &str =
EPS,12,6,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/melissa_photobioreactor.rs,377,/// EPS fraction relation `x_EPS = 1.33(P/2e- - 1.23)`.
EULER,12,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,30,pub const CODEX_ID_EULER_COLUMN_BUCKLING_LOAD: &str =
FRACTION,12,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/lib.rs,41,"pub const CODEX_ID_CLOSURE_FRACTION: &str = ""life_support.bioregenerative.closure_fraction"";"
J/,12,3,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-constants/src/lib.rs,76,"/// Universal molar gas constant, J/(mol·K)."
JSON,12,9,registered,true,true,false,ARTIFACT_MANIFEST.md,11,"- Per-microtask checkpoint ZIPs, changed-file ZIPs, patches, checks JSON files, changed-path lists, and SHA256 sidecars preserved in the final bundle under `microtask_artifacts/`."
M2,12,5,chemical_formula_or_unit_symbol,false,false,false,archive/prompts/Pasted markdown.md,781,M2 < 1 for normal shock with M1 > 1
PROPULSION,12,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-propulsion/src/lib.rs,36,pub const SOURCE_ID_PROPULSION_ROCKET_NOZZLE_BASICS: &str =
SEQ-009,12,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,25,"PORT_STATUS_RELEASE_GATE.csv:row_0042,ch1_constants,foa_ch01_ast_constants,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01"
SEQ-023,12,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,32,"PORT_STATUS_RELEASE_GATE.csv:row_0239,repeating_groundtrack_revs_per_sidereal_day,foa_ch03_ast_repeating_groundtrack_revs_per_sidereal_day,""source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamental"
SEQ-028,12,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,46,"PORT_STATUS_RELEASE_GATE.csv:row_0281,ch4::propagate_classical_from_rv,foa_ch04_ast_propagate_classical_from_rv,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynami"
SEQ-049,12,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,196,"PORT_STATUS_RELEASE_GATE.csv:row_0710,ch7_laplace_sphere_of_influence,foa_ch07_ast_ch7_laplace_sphere_of_influence,source_scilab/ch7_patched_conic/ast_ch7_patched_conic.sci,iterative_solver,blocked_until_solver_policy,mission design / patch"
SEQ-060,12,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,246,"PORT_STATUS_RELEASE_GATE.csv:row_0844,foa_ch09_ast9_encke_fq,foa_ch09_ast9_encke_fq,""source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_clea"
SEQ-183,12,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,588,"PORT_STATUS_RELEASE_GATE.csv:row_1344,tle_checksum,tle_checksum,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/tle_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_policy,V"
T001,12,1,chemical_formula_or_unit_symbol,false,false,false,docs/phase_0_001/tracked_tasks.md,40,### AC-P0.001-T001 — Source registry review checklist
URL,12,12,software_or_repo_infrastructure,false,true,false,docs/deployment/stage5_agent_operating_rules.md,93,"- exact remote CI run ID, job ID if available, status, conclusion, URL, and head commit;"
AERODYNAMIC,11,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,35,pub const SOURCE_ID_AERODYNAMIC_COEFFICIENTS: &str =
CANTILEVER,11,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,25,pub const CODEX_ID_CANTILEVER_TIP_DEFLECTION_END_LOAD: &str =
DEFLECTION,11,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,25,pub const CODEX_ID_CANTILEVER_TIP_DEFLECTION_END_LOAD: &str =
GPL-3,11,7,compound_registered_or_known,false,false,false,data-governance/DATA_REGISTRY.yaml,206,license: GPL-3.0-or-later
LIFT,11,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-aerodynamics/src/lib.rs,22,"pub const CODEX_ID_LIFT: &str = ""aero.forces.lift"";"
NIST,11,5,registered,true,false,false,crates/aero-codex-constants/src/lib.rs,20,pub const SOURCE_ID_NIST_CODATA_PHYSICAL_CONSTANTS: &str =
PLACEHOLDER,11,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,99,pub const SOLAR_GRAVITATIONAL_PARAMETER_M3_S2_PLACEHOLDER: f64 = 1.327_124_400_18e20;
PRODUCTION,11,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/lib.rs,43,pub const CODEX_ID_REQUIRED_PRODUCTION_AREA: &str =
REFERENCES,11,8,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/lib.rs,32,"verification_record as thinfilm_verification_record, EquationReference, EQUATION_REFERENCES,"
SEQ-018,11,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,17,"PORT_STATUS_RELEASE_GATE.csv:row_0167,ijk_to_earth_fixed,foa_ch02_ast_ijk_to_earth_fixed,""source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_as"
SEQ-030,11,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,53,"PORT_STATUS_RELEASE_GATE.csv:row_0316,ch4::lagrange_fg_delta_e,foa_ch04_ast_lagrange_fg_delta_E,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleane"
SEQ-173,11,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,507,"PORT_STATUS_RELEASE_GATE.csv:row_1254,rvd_delta_v_with_losses,rvd_delta_v_with_losses,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/cur"
SEQ-187,11,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,382,"PORT_STATUS_RELEASE_GATE.csv:row_0986,clamp_scalar,clamp_scalar,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scila"
SOLAR,11,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-constants/src/lib.rs,99,pub const SOLAR_GRAVITATIONAL_PARAMETER_M3_S2_PLACEHOLDER: f64 = 1.327_124_400_18e20;
STRESS,11,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-structures/src/lib.rs,21,"pub const CODEX_ID_AXIAL_STRESS: &str = ""structures.stress.axial"";"
TRIPLE,11,2,registered,true,false,false,crates/aero-codex-astrodynamics/src/lib.rs,62,"pub const CODEX_ID_M00_SCALAR_TRIPLE: &str = ""formula_vault.m00.vector.scalar_triple"";"
CARBON,10,3,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/lib.rs,58,pub const CODEX_ID_CARBON_DIOXIDE_DAILY_BALANCE: &str =
CL,10,4,chemical_formula_or_unit_symbol,false,false,false,archive/prompts/Pasted markdown.md,918,induced drag positive for nonzero CL
EQUATION,10,7,uppercase_word_or_heading,false,false,false,crates/aero-codex-life-support/src/lib.rs,32,"verification_record as thinfilm_verification_record, EquationReference, EQUATION_REFERENCES,"
EXPANSION,10,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-gas-dynamics/src/lib.rs,72,pub const SOURCE_ID_GAS_DYNAMICS_EXPANSION_FLOW: &str = SOURCE_ID_NACA_REPORT_1135;
FIELDS,10,1,uppercase_word_or_heading,false,false,false,xtask/src/main.rs,9,const REQUIRED_CARD_FIELDS: &[&str] = &[
GNC,10,7,registered,true,false,false,nomenclature/docs/acronym_terminology_protocol.md,126,"Acronym:  GNC -> Guidance, Navigation, and Control"
NO3,10,4,chemical_formula_or_unit_symbol,false,false,false,crates/aero-codex-life-support/src/melissa_photobioreactor.rs,639,"/// `D = sat(D0 + K_N (C_NO3,sp - C_NO3))`."
PARAMETERS,10,2,uppercase_word_or_heading,false,false,false,crates/aero-codex-astrodynamics/src/lib.rs,121,pub const SOURCE_ID_ASTRODYNAMICS_NASA_JPL_PARAMETERS: &str =
PASS,10,2,needs_registry_or_waiver,false,false,false,docs/phase_0_001/version_lock_audit.md,28,Result: PASS. No `Cargo.toml` file contains `0.001`.
RADIATIVE,10,1,uppercase_word_or_heading,false,false,false,crates/aero-codex-heat-transfer/src/lib.rs,20,pub const CODEX_ID_STEFAN_BOLTZMANN_RADIATIVE_FLUX: &str =
SEQ-002,10,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,2,"PORT_STATUS_RELEASE_GATE.csv:row_0013,app_ut_day_fraction,foa_app_ast_app_ut_day_fraction,""Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/"
SEQ-046,10,1,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv,664,"PORT_STATUS_RELEASE_GATE.csv:row_0681,ch7_apsidal_rotation_rate,foa_ch07_ast_ch7_apsidal_rotation_rate,source_scilab/ch7_earth_moon/ast_ch7_earth_moon.sci,orbit_two_body,medium_risk_requires_contract_review,mission design / patched-conic as"
SEQ-059,10,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,241,"PORT_STATUS_RELEASE_GATE.csv:row_0839,foa_ch09_ast9_cowell_rhs,foa_ch09_ast9_cowell_rhs,""source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_"
SEQ-081,10,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,335,"PORT_STATUS_RELEASE_GATE.csv:row_0933,cw_close_circular_chaser_abs_velocity,cw_close_circular_chaser_abs_velocity,source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique"
SEQ-083,10,2,needs_registry_or_waiver,false,false,false,docs/source_intake/m07_formula_family_classifier/blocked_high_risk_rows.csv,549,"PORT_STATUS_RELEASE_GATE.csv:row_1305,ecef_to_az_el,ecef_to_az_el,M06_vallado_sgp4/01_Vallado_2006_Revisiting_Spacetrack_Report_3/sgp4_scilab_package_v3/sgp4_scilab_v3/macros/coord_utils.sci,sgp4_teme_sensitive,blocked_until_frame_time_poli"
